occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Sales manager,Advertising sales agent,33.1,52.7,89.99,1.29,-1.21,100.00,100.00,1.25,100.00,98.75
Management analyst,Accountant,46.6,57.0,89.84,-4.08,-0.95,67.50,97.50,-1.57,82.50,81.21
Industrial production manager,Human resources manager,19.1,76.5,89.80,-1.92,-1.94,100.00,100.00,0.01,100.00,99.99
Facilities manager,Social and community service manager,23.4,71.7,89.67,-1.49,-3.70,100.00,75.00,1.10,87.50,86.54
Purchasing manager,Administrative services manager,47.7,74.0,89.51,-1.47,-2.92,100.00,100.00,0.72,100.00,99.28
Industrial production manager,Financial manager,19.1,56.2,89.51,-5.13,-1.91,100.00,100.00,-1.61,100.00,98.39
Operation manager,Financial manager,37.1,56.2,89.31,-4.39,0.06,82.50,100.00,-2.22,91.25,89.22
Industrial production manager,Human resources worker,19.1,76.5,89.29,-1.07,-1.94,100.00,100.00,0.44,100.00,99.56
Sales manager,Insurance sales agent,33.1,54.9,89.13,0.36,-1.28,100.00,100.00,0.82,100.00,99.18
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,-1.45,-3.39,100.00,92.50,0.97,96.25,95.31
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,1.74,-0.25,97.50,86.67,1.00,92.08,91.17
Facilities manager,Human resources worker,23.4,76.5,88.96,-0.91,-2.09,100.00,52.50,0.59,76.25,75.80
Software developer,Marketing specialist,20.2,61.7,88.94,0.09,-7.38,100.00,62.50,3.74,81.25,78.22
Industrial production manager,Marketing manager,19.1,62.4,88.93,-3.47,-1.42,100.00,100.00,-1.02,100.00,98.98
Facilities manager,Training and development specialist,23.4,56.7,88.90,-0.69,-1.08,100.00,47.50,0.19,73.75,73.61
Software developer,Operations research analyst,20.2,55.0,88.88,0.97,-7.27,100.00,100.00,4.12,100.00,95.88
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,1.35,-3.41,100.00,95.00,2.38,97.50,95.18
Information security analyst,Administrative services manager,19.3,74.0,88.53,-3.10,-2.58,100.00,100.00,-0.26,100.00,99.74
Industrial production manager,Operations research analyst,19.1,55.0,88.39,-2.44,-2.65,100.00,100.00,0.11,100.00,99.89
Facilities manager,Financial manager,23.4,56.2,88.37,-5.74,-0.89,100.00,87.50,-2.43,93.75,91.47
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,-2.01,-3.09,100.00,95.00,0.54,97.50,96.97
Industrial production manager,Public relations manager,19.1,66.4,88.35,-2.98,-3.40,100.00,100.00,0.21,100.00,99.79
Project management specialist,Public relations specialist,47.3,76.2,88.35,-2.93,-1.96,100.00,100.00,-0.48,100.00,99.52
Industrial production manager,Administrative services manager,19.1,74.0,88.30,-2.44,-3.48,100.00,100.00,0.52,100.00,99.48
Facilities manager,Marketing specialist,23.4,61.7,88.28,-2.72,-2.73,100.00,67.50,0.00,83.75,83.75
Financial and investment analyst,Marketing specialist,43.9,61.7,88.28,-2.19,-2.53,100.00,87.50,0.17,93.75,93.59
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,88.18,0.36,-4.43,100.00,100.00,2.39,100.00,97.61
Operation manager,Marketing manager,37.1,62.4,88.12,-3.32,-1.11,92.50,100.00,-1.10,96.25,95.19
Industrial production manager,Training and development specialist,19.1,56.7,88.10,-1.98,-3.58,100.00,100.00,0.80,100.00,99.20
Purchasing manager,Accountant,47.7,57.0,88.07,-2.49,-1.79,87.50,95.00,-0.35,91.25,90.93
Financial and investment analyst,Insurance underwriter,43.9,56.9,88.04,-1.43,-2.16,100.00,100.00,0.37,100.00,99.63
Financial and investment analyst,Public relations manager,43.9,66.4,87.91,-2.83,-4.54,100.00,100.00,0.85,100.00,99.15
Chemical engineer,Medical scientist,21.6,51.8,87.70,-3.31,2.20,90.00,100.00,-2.76,95.00,92.38
Operation manager,Human resources manager,37.1,76.5,87.61,-2.32,0.05,92.50,100.00,-1.19,96.25,95.11
Architectural and engineering manager,Human resources worker,12.8,76.5,87.58,0.25,-3.19,100.00,100.00,1.72,100.00,98.28
Operation manager,Public relations manager,37.1,66.4,87.47,-3.02,-2.06,100.00,100.00,-0.48,100.00,99.52
Training and development manager,Social and community service manager,48.0,71.7,87.29,-1.14,-3.15,100.00,100.00,1.01,100.00,98.99
Financial and investment analyst,Accountant,43.9,57.0,87.27,-2.47,-1.98,97.50,100.00,-0.24,98.75,98.51
Financial and investment analyst,Human resources manager,43.9,76.5,87.23,-0.71,-2.84,100.00,100.00,1.06,100.00,98.94
