occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Facilities manager,Public relations manager,23.4,66.4,90.26,0.40,0.44,100.00,100.00,-0.02,100.00,99.98
Sales manager,Training and development specialist,33.1,56.7,90.18,3.38,0.54,70.00,97.50,1.42,83.75,82.56
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,1.46,1.07,100.00,100.00,0.20,100.00,99.80
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,0.45,1.76,100.00,100.00,-0.65,100.00,99.35
Purchasing manager,Marketing specialist,47.7,61.7,90.08,2.02,-0.48,100.00,100.00,1.25,100.00,98.75
Training and development manager,Financial manager,48.0,56.2,90.06,0.08,3.09,100.00,70.00,-1.50,85.00,83.72
Sales manager,Advertising sales agent,33.1,52.7,89.99,2.64,2.28,100.00,100.00,0.18,100.00,99.82
Management analyst,Accountant,46.6,57.0,89.84,1.10,2.67,100.00,100.00,-0.78,100.00,99.22
Industrial production manager,Human resources manager,19.1,76.5,89.80,3.40,-0.18,100.00,100.00,1.79,100.00,98.21
Facilities manager,Social and community service manager,23.4,71.7,89.67,1.53,-0.07,100.00,100.00,0.80,100.00,99.20
Purchasing manager,Administrative services manager,47.7,74.0,89.51,2.78,1.44,100.00,100.00,0.67,100.00,99.33
Industrial production manager,Financial manager,19.1,56.2,89.51,-0.19,1.11,100.00,100.00,-0.65,100.00,99.35
Operation manager,Financial manager,37.1,56.2,89.31,0.40,2.13,100.00,100.00,-0.86,100.00,99.14
Industrial production manager,Human resources worker,19.1,76.5,89.29,2.52,0.25,100.00,100.00,1.14,100.00,98.86
Sales manager,Insurance sales agent,33.1,54.9,89.13,1.25,2.21,100.00,100.00,-0.48,100.00,99.52
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,2.04,-0.73,100.00,100.00,1.38,100.00,98.62
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,1.06,1.02,100.00,100.00,0.02,100.00,99.98
Facilities manager,Human resources worker,23.4,76.5,88.96,0.77,0.37,100.00,100.00,0.20,100.00,99.80
Software developer,Marketing specialist,20.2,61.7,88.94,3.48,-0.87,100.00,95.00,2.17,97.50,95.38
Industrial production manager,Marketing manager,19.1,62.4,88.93,2.41,-0.54,100.00,100.00,1.48,100.00,98.52
Facilities manager,Training and development specialist,23.4,56.7,88.90,1.50,0.17,100.00,100.00,0.66,100.00,99.34
Software developer,Operations research analyst,20.2,55.0,88.88,4.17,1.21,100.00,87.50,1.48,93.75,92.36
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,0.67,0.00,100.00,87.50,0.33,93.75,93.44
Information security analyst,Administrative services manager,19.3,74.0,88.53,3.11,2.29,97.50,100.00,0.41,98.75,98.34
Industrial production manager,Operations research analyst,19.1,55.0,88.39,1.97,1.82,100.00,97.50,0.08,98.75,98.67
Facilities manager,Financial manager,23.4,56.2,88.37,0.41,1.59,100.00,100.00,-0.59,100.00,99.41
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,1.30,0.49,100.00,100.00,0.41,100.00,99.59
Industrial production manager,Public relations manager,19.1,66.4,88.35,1.95,-0.51,100.00,100.00,1.23,100.00,98.77
Project management specialist,Public relations specialist,47.3,76.2,88.35,-0.05,0.51,100.00,97.50,-0.28,98.75,98.48
Industrial production manager,Administrative services manager,19.1,74.0,88.30,1.66,0.10,100.00,100.00,0.78,100.00,99.22
Facilities manager,Marketing specialist,23.4,61.7,88.28,0.18,-0.41,100.00,100.00,0.29,100.00,99.71
Financial and investment analyst,Marketing specialist,43.9,61.7,88.28,1.00,-0.26,100.00,100.00,0.63,100.00,99.37
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,88.18,0.85,-0.31,100.00,100.00,0.58,100.00,99.42
Operation manager,Marketing manager,37.1,62.4,88.12,0.72,-0.09,100.00,100.00,0.41,100.00,99.59
Industrial production manager,Training and development specialist,19.1,56.7,88.10,3.10,0.15,100.00,97.50,1.48,98.75,97.29
Purchasing manager,Accountant,47.7,57.0,88.07,1.82,2.32,100.00,100.00,-0.25,100.00,99.75
Financial and investment analyst,Insurance underwriter,43.9,56.9,88.04,0.38,2.60,100.00,100.00,-1.11,100.00,98.89
Financial and investment analyst,Public relations manager,43.9,66.4,87.91,1.06,0.53,100.00,100.00,0.26,100.00,99.74
Chemical engineer,Medical scientist,21.6,51.8,87.70,0.98,2.08,100.00,100.00,-0.55,100.00,99.45
Operation manager,Human resources manager,37.1,76.5,87.61,1.18,0.30,100.00,100.00,0.44,100.00,99.56
Architectural and engineering manager,Human resources worker,12.8,76.5,87.58,1.74,0.42,100.00,100.00,0.66,100.00,99.34
Operation manager,Public relations manager,37.1,66.4,87.47,0.23,0.23,100.00,100.00,-0.00,100.00,100.00
Training and development manager,Social and community service manager,48.0,71.7,87.29,0.83,0.29,100.00,100.00,0.27,100.00,99.73
Financial and investment analyst,Accountant,43.9,57.0,87.27,0.86,3.01,100.00,97.50,-1.07,98.75,97.69
Financial and investment analyst,Human resources manager,43.9,76.5,87.23,1.10,1.36,100.00,100.00,-0.13,100.00,99.87
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,87.11,-0.33,-0.53,100.00,100.00,0.10,100.00,99.90
Purchasing manager,Training and development specialist,47.7,56.7,86.71,3.03,0.00,97.50,97.50,1.51,97.50,96.02
Web developer,Graphic designer,19.4,54.7,86.62,2.72,1.72,100.00,100.00,0.50,100.00,99.50
Purchasing manager,Social and community service manager,47.7,71.7,86.53,3.06,-0.21,100.00,100.00,1.64,100.00,98.36
Chemical engineer,Biological scientist,21.6,55.0,86.36,1.31,0.15,100.00,100.00,0.58,100.00,99.42
Dentist,Dental hygienist,39.5,95.7,86.25,2.92,-4.73,100.00,100.00,3.82,100.00,96.18
Software quality tester,Operations research analyst,44.1,55.0,86.23,1.35,1.90,100.00,100.00,-0.28,100.00,99.72
Web and digital interface designer,Graphic designer,42.7,54.7,86.19,0.56,1.53,100.00,67.57,-0.49,83.78,83.38
Information security analyst,Training and development specialist,19.3,56.7,85.97,4.48,1.51,97.50,92.50,1.48,95.00,93.59
Software developer,Graphic designer,20.2,54.7,85.82,3.98,1.59,100.00,97.30,1.20,98.65,97.47
Architectural and engineering manager,Social and community service manager,12.8,71.7,85.81,1.79,-1.50,100.00,100.00,1.64,100.00,98.36
Web and digital interface designer,Operations research analyst,42.7,55.0,85.73,0.40,2.82,100.00,95.00,-1.21,97.50,96.32
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,35.9,65.8,85.68,1.62,0.94,100.00,100.00,0.34,100.00,99.66
Lawyer,Paralegal,39.5,83.0,85.66,1.72,-2.83,100.00,100.00,2.28,100.00,97.72
Architectural and engineering manager,Operations research analyst,12.8,55.0,85.62,1.71,1.94,100.00,100.00,-0.12,100.00,99.88
Operation manager,Social and community service manager,37.1,71.7,85.47,1.01,-0.52,97.50,100.00,0.77,98.75,97.99
Industrial production manager,Social and community service manager,19.1,71.7,85.20,2.26,-1.45,100.00,100.00,1.85,100.00,98.15
First-line supervisor of non-retail sales workers,Human resources worker,35.9,76.5,85.15,-0.40,0.33,100.00,100.00,-0.37,100.00,99.63
Property assessor,Insurance underwriter,34.2,56.9,85.13,2.67,0.85,92.50,100.00,0.91,96.25,95.37
Operation manager,Human resources worker,37.1,76.5,84.98,0.65,-0.25,100.00,100.00,0.45,100.00,99.55
