occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Sales manager,Advertising sales agent,33.1,52.7,89.99,-2.54,-5.05,100.00,0.00,1.25,50.00,49.37
Management analyst,Accountant,46.6,57.0,89.84,-4.73,-0.40,60.00,27.50,-2.17,43.75,42.80
Industrial production manager,Human resources manager,19.1,76.5,89.80,7.20,-10.03,10.00,100.00,8.61,55.00,50.26
Facilities manager,Social and community service manager,23.4,71.7,89.67,-4.95,-1.63,97.50,15.00,-1.66,56.25,55.32
Purchasing manager,Administrative services manager,47.7,74.0,89.51,6.63,-5.26,2.50,62.50,5.94,32.50,30.57
Industrial production manager,Financial manager,19.1,56.2,89.51,-4.60,-6.47,17.50,100.00,0.94,58.75,58.20
Operation manager,Financial manager,37.1,56.2,89.31,-8.51,5.22,75.00,70.00,-6.87,72.50,67.52
Industrial production manager,Human resources worker,19.1,76.5,89.29,10.35,-9.80,15.00,100.00,10.07,57.50,51.71
Sales manager,Insurance sales agent,33.1,54.9,89.13,-0.53,-4.15,100.00,4.55,1.81,52.27,51.33
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,8.93,-11.53,52.50,85.00,10.23,68.75,61.72
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,-2.07,-2.14,40.00,6.67,0.04,23.33,23.32
Facilities manager,Human resources worker,23.4,76.5,88.96,5.83,-5.78,32.50,80.00,5.80,56.25,52.99
Software developer,Marketing specialist,20.2,61.7,88.94,3.70,-13.34,60.00,97.50,8.52,78.75,72.04
Industrial production manager,Marketing manager,19.1,62.4,88.93,0.86,-7.21,5.00,100.00,4.03,52.50,50.38
Facilities manager,Training and development specialist,23.4,56.7,88.90,-7.57,-1.58,75.00,50.00,-2.99,62.50,60.63
Software developer,Operations research analyst,20.2,55.0,88.88,2.97,-5.78,87.50,47.50,4.37,67.50,64.55
