occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,5.05,-6.70,90.00,12.50,5.87,51.25,48.24
Facilities manager,Public relations manager,23.4,66.4,90.26,8.02,-10.46,50.00,90.00,9.24,70.00,63.53
Sales manager,Training and development specialist,33.1,56.7,90.18,1.74,-5.36,7.50,95.00,3.55,51.25,49.43
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,4.10,-4.61,95.00,2.50,4.35,48.75,46.63
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,4.07,-3.68,67.50,100.00,3.87,83.75,80.51
Purchasing manager,Marketing specialist,47.7,61.7,90.08,5.77,-8.58,17.50,75.00,7.17,46.25,42.93
Training and development manager,Financial manager,48.0,56.2,90.06,-4.87,3.00,37.50,45.00,-3.94,41.25,39.63
Sales manager,Advertising sales agent,33.1,52.7,89.99,2.91,-6.67,20.00,65.38,4.79,42.69,40.65
Management analyst,Accountant,46.6,57.0,89.84,2.71,-3.20,77.50,67.50,2.95,72.50,70.36
Industrial production manager,Human resources manager,19.1,76.5,89.80,6.97,-8.00,7.50,97.50,7.49,52.50,48.57
Facilities manager,Social and community service manager,23.4,71.7,89.67,7.87,-10.83,75.00,40.00,9.35,57.50,52.12
Purchasing manager,Administrative services manager,47.7,74.0,89.51,3.27,-3.27,0.00,90.00,3.27,45.00,43.53
Industrial production manager,Financial manager,19.1,56.2,89.51,5.17,-3.37,20.00,100.00,4.27,60.00,57.44
Operation manager,Financial manager,37.1,56.2,89.31,0.89,0.17,15.00,100.00,0.36,57.50,57.29
Industrial production manager,Human resources worker,19.1,76.5,89.29,8.54,-6.82,5.00,100.00,7.68,52.50,48.47
Sales manager,Insurance sales agent,33.1,54.9,89.13,0.64,-2.85,7.50,63.64,1.74,35.57,34.95
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,8.96,-14.26,67.50,67.50,11.61,67.50,59.66
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,1.66,-1.37,90.00,33.33,1.51,61.67,60.73
Facilities manager,Human resources worker,23.4,76.5,88.96,7.87,-7.32,25.00,100.00,7.59,62.50,57.75
Software developer,Marketing specialist,20.2,61.7,88.94,6.19,-11.72,97.50,45.00,8.96,71.25,64.87
Industrial production manager,Marketing manager,19.1,62.4,88.93,8.94,-9.98,15.00,100.00,9.46,57.50,52.06
Facilities manager,Training and development specialist,23.4,56.7,88.90,4.67,-7.62,20.00,95.00,6.14,57.50,53.97
Software developer,Operations research analyst,20.2,55.0,88.88,1.88,-1.81,80.00,67.50,1.85,73.75,72.39
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,2.61,-5.58,100.00,2.50,4.10,51.25,49.15
Information security analyst,Administrative services manager,19.3,74.0,88.53,3.79,-6.98,85.00,47.50,5.38,66.25,62.68
Industrial production manager,Operations research analyst,19.1,55.0,88.39,3.79,-3.73,5.00,100.00,3.76,52.50,50.53
Facilities manager,Financial manager,23.4,56.2,88.37,2.25,-2.41,47.50,90.00,2.33,68.75,67.15
