occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Sales manager,Advertising sales agent,33.1,52.7,89.99,4.94,-7.92,100.00,34.62,6.43,67.31,62.98
Management analyst,Accountant,46.6,57.0,89.84,-2.70,-0.58,95.00,87.50,-1.06,91.25,90.28
Industrial production manager,Human resources manager,19.1,76.5,89.80,7.08,-10.05,47.50,100.00,8.57,73.75,67.43
Facilities manager,Social and community service manager,23.4,71.7,89.67,3.21,-3.28,77.50,72.50,3.24,75.00,72.57
Purchasing manager,Administrative services manager,47.7,74.0,89.51,-0.99,-5.87,35.00,100.00,2.44,67.50,65.85
Industrial production manager,Financial manager,19.1,56.2,89.51,0.44,2.33,30.00,100.00,-0.94,65.00,64.39
Operation manager,Financial manager,37.1,56.2,89.31,-7.42,4.44,85.00,87.50,-5.93,86.25,81.14
Industrial production manager,Human resources worker,19.1,76.5,89.29,10.68,-14.86,52.50,100.00,12.77,76.25,66.51
Sales manager,Insurance sales agent,33.1,54.9,89.13,2.35,-4.58,100.00,36.36,3.46,68.18,65.82
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,10.57,-13.77,75.00,100.00,12.17,87.50,76.85
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,0.33,1.78,100.00,100.00,-0.72,100.00,99.28
Facilities manager,Human resources worker,23.4,76.5,88.96,5.11,-10.61,20.00,100.00,7.86,60.00,55.28
Software developer,Marketing specialist,20.2,61.7,88.94,4.28,-1.63,90.00,77.50,2.95,83.75,81.28
Industrial production manager,Marketing manager,19.1,62.4,88.93,2.23,-2.62,47.50,100.00,2.43,73.75,71.96
Facilities manager,Training and development specialist,23.4,56.7,88.90,0.75,0.23,65.00,85.00,0.26,75.00,74.81
Software developer,Operations research analyst,20.2,55.0,88.88,0.43,5.91,100.00,90.00,-2.74,95.00,92.40
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,5.48,-10.19,75.00,97.50,7.84,86.25,79.49
Information security analyst,Administrative services manager,19.3,74.0,88.53,5.98,-7.76,35.00,100.00,6.87,67.50,62.86
Industrial production manager,Operations research analyst,19.1,55.0,88.39,-0.66,2.83,72.50,100.00,-1.75,86.25,84.74
Facilities manager,Financial manager,23.4,56.2,88.37,-6.11,10.06,22.50,92.50,-8.09,57.50,52.85
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,4.46,-8.40,92.50,72.50,6.43,82.50,77.19
Industrial production manager,Public relations manager,19.1,66.4,88.35,2.74,-5.07,90.00,100.00,3.91,95.00,91.29
Project management specialist,Public relations specialist,47.3,76.2,88.35,2.50,-2.28,100.00,72.50,2.39,86.25,84.19
Industrial production manager,Administrative services manager,19.1,74.0,88.30,6.11,-3.20,35.00,100.00,4.66,67.50,64.36
Facilities manager,Marketing specialist,23.4,61.7,88.28,1.20,-0.96,52.50,100.00,1.08,76.25,75.43
Financial and investment analyst,Marketing specialist,43.9,61.7,88.28,6.88,-10.54,100.00,70.00,8.71,85.00,77.60
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,88.18,10.82,-1.02,46.43,100.00,5.92,73.21,68.88
Operation manager,Marketing manager,37.1,62.4,88.12,-4.12,0.07,92.50,97.50,-2.10,95.00,93.01
Industrial production manager,Training and development specialist,19.1,56.7,88.10,3.32,-10.43,52.50,100.00,6.87,76.25,71.01
Purchasing manager,Accountant,47.7,57.0,88.07,-5.20,6.36,37.50,90.00,-5.78,63.75,60.06
Financial and investment analyst,Insurance underwriter,43.9,56.9,88.04,7.82,-11.03,100.00,70.00,9.43,85.00,76.99
Financial and investment analyst,Public relations manager,43.9,66.4,87.91,5.38,-12.94,97.50,35.00,9.16,66.25,60.18
Chemical engineer,Medical scientist,21.6,51.8,87.70,-0.81,0.17,27.50,97.37,-0.49,62.43,62.13
Operation manager,Human resources manager,37.1,76.5,87.61,0.23,-6.16,100.00,92.50,3.19,96.25,93.18
Architectural and engineering manager,Human resources worker,12.8,76.5,87.58,20.08,-22.40,62.50,97.50,21.24,80.00,63.01
Operation manager,Public relations manager,37.1,66.4,87.47,-1.67,-4.32,100.00,32.50,1.32,66.25,65.37
Training and development manager,Social and community service manager,48.0,71.7,87.29,3.59,-8.89,100.00,55.00,6.24,77.50,72.66
Financial and investment analyst,Accountant,43.9,57.0,87.27,1.73,-6.20,90.00,100.00,3.96,95.00,91.23
Financial and investment analyst,Human resources manager,43.9,76.5,87.23,11.40,-9.65,85.00,92.50,10.52,88.75,79.41
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,87.11,7.67,-19.74,92.50,71.05,13.70,81.78,70.57
Purchasing manager,Training and development specialist,47.7,56.7,86.71,-1.94,-6.70,85.00,57.50,2.38,71.25,69.56
Web developer,Graphic designer,19.4,54.7,86.62,-0.04,-0.53,100.00,54.05,0.24,77.03,76.84
Purchasing manager,Social and community service manager,47.7,71.7,86.53,0.17,-10.05,100.00,20.00,5.11,60.00,56.93
Chemical engineer,Biological scientist,21.6,55.0,86.36,-0.65,3.03,32.50,97.30,-1.84,64.90,63.70
