occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Management analyst,Accountant,46.6,57.0,89.84,0.22,-1.56,40.00,10.00,0.89,25.00,24.78
Industrial production manager,Human resources manager,19.1,76.5,89.80,16.50,-23.22,12.50,90.00,19.86,51.25,41.07
Facilities manager,Social and community service manager,23.4,71.7,89.67,6.60,-15.23,62.50,45.00,10.92,53.75,47.88
Purchasing manager,Administrative services manager,47.7,74.0,89.51,8.40,-13.34,0.00,50.00,10.87,25.00,22.28
Industrial production manager,Financial manager,19.1,56.2,89.51,1.15,-4.98,15.00,100.00,3.07,57.50,55.74
Operation manager,Financial manager,37.1,56.2,89.31,-4.95,5.29,72.50,57.50,-5.12,65.00,61.67
Industrial production manager,Human resources worker,19.1,76.5,89.29,20.19,-24.18,17.50,55.00,22.18,36.25,28.21
Sales manager,Insurance sales agent,33.1,54.9,89.13,6.21,-4.37,97.50,0.00,5.29,48.75,46.17
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,23.86,-24.26,50.00,50.00,24.06,50.00,37.97
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,-0.92,-6.57,57.50,26.67,2.83,42.08,40.89
Facilities manager,Human resources worker,23.4,76.5,88.96,12.89,-18.12,37.50,50.00,15.51,43.75,36.97
Software developer,Marketing specialist,20.2,61.7,88.94,23.65,-22.67,45.00,67.50,23.16,56.25,43.22
Industrial production manager,Marketing manager,19.1,62.4,88.93,8.14,-13.72,10.00,100.00,10.93,55.00,48.99
Facilities manager,Training and development specialist,23.4,56.7,88.90,1.88,-7.13,77.50,57.50,4.51,67.50,64.46
Software developer,Operations research analyst,20.2,55.0,88.88,19.02,-17.39,32.50,75.00,18.21,53.75,43.96
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,9.45,-10.58,40.00,100.00,10.01,70.00,62.99
Information security analyst,Administrative services manager,19.3,74.0,88.53,9.46,-12.70,2.50,100.00,11.08,51.25,45.57
Industrial production manager,Operations research analyst,19.1,55.0,88.39,1.41,-8.45,35.00,67.50,4.93,51.25,48.72
Facilities manager,Financial manager,23.4,56.2,88.37,-5.92,3.62,47.50,92.50,-4.77,70.00,66.66
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,13.10,-12.05,35.00,62.50,12.58,48.75,42.62
Industrial production manager,Public relations manager,19.1,66.4,88.35,13.38,-16.16,27.50,82.50,14.77,55.00,46.87
